120																																		
	Time	X1	Y1	Z1	X2	Y2	Z2	X3	Y3	Z3	X4	Y4	Z4	X5	Y5	Z5	X6	Y6	Z6	X3'	Y3'	Z3'	X6'	Y6'	Z6'									
78	0.642	-693.32477	1210.32312	885.55334	179.08231	3517.34399	791.50623	490.34833	3946.66553	826.04767										1183.6731														
79	0.65	-693.34143	1210.50977	885.44189	179.67038	3513.99072	791.06213	487.29608	3947.0144	825.66229	-550.17236	713.57428	999.87335							1180.63751														
80	0.658	-693.40686	1210.62122	885.33728	484.09616	3947.35278	825.1817	-546.49969	715.46033	997.71234	180.9706	3510.60815	790.49518							146.90717														
81	0.667	-693.30634	1210.52783	885.36188	482.5603	3948.07153	824.58704	182.40034	3506.65601	790.40918										875.70668														
82	0.675	-693.34039	1210.28467	885.52686	183.32364	3503.20215	789.78992	478.93811	3947.98975	824.38593										1172.2785														
83	0.683	-693.32452	1210.28735	885.52795	184.19539	3499.93945	789.3371	474.69592	3947.44019	824.56073	-550.14172	712.93622	999.62762							1168.02044														
84	0.692	-693.34937	1210.52039	885.36761	185.91638	3496.19312	788.91888	471.27057	3947.10376	824.73053	-547.84796	715.30829	998.63062							1164.61994														
85	0.7	-693.38757	1210.59314	885.34448	186.89903	3492.88599	788.52118	469.90305	3947.8772	824.18195	181.56573	3619.99634	1087.08472	73.86015	3788.44507	807.31824				1163.29062														
86	0.708	-693.36761	1210.53613	885.34149	187.94153	3489.4624	787.5647	468.37814	3948.56421	823.9483	180.67345	3616.56592	1086.33325	72.26794	3783.69824	806.81189				1161.74575														
87	0.717	-693.37244	1210.32068	885.53271	189.20465	3485.61426	787.25153	465.1001	3948.40088	823.81689	179.79636	3614.10107	1085.46497	67.12096	3777.48633	806.87048				1158.47254														
88	0.725	-693.3714	1210.41016	885.47906	190.67319	3482.56372	786.66559	463.59229	3948.72803	823.21869	-546.64246	715.25903	997.80463	65.31671	3772.54492	805.80817	179.08401	3610.31299	1084.87646	1156.96369														
89	0.733	-693.35645	1210.49744	885.40601	191.66682	3479.43604	786.08405	462.05411	3949.29004	822.68805	177.87329	3607.43799	1084.02356	64.09361	3768.19287	804.93665				1155.41056														
90	0.742	-693.35492	1210.6001	885.31873	192.97667	3475.88428	784.95569	458.28561	3948.83984	822.90979	-551.91241	712.90161	1000.35974	60.37844	3762.53613	804.82568	176.90982	3604.2749	1083.24524	1151.64053														
91	0.75	-693.26276	1210.48071	885.3916	456.19208	3948.75977	822.26843	-547.15369	715.79132	997.88879	58.12559	3757.60962	804.0769							146.10907														
